ticker,bar,price,ret_1M,ret_3M,ret_6M,ret_12M,system
ACB,25,72.7868881225586,68.52145362374,218.75992039263238,205.24641566118885,217.96502068116564,💎 ASH STRONG solo
ALDX,40,7.199999809265137,-12.499995032946131,-5.555550404536735,4.166669426141034,91.6666743931949,💎 ASH STRONG solo
ALEC,25,20.139999389648438,-3.177752775788978,3.4260206304289387,13.306853954291809,-29.24528087461503,💎 ASH STRONG solo
ALT,90,8.569999694824219,-15.869308110928015,-22.403730079667973,-36.63943965344565,-38.623098994290864,💎 ASH STRONG solo
ANAB,104,20.413333892822266,19.46440194250558,58.327884433363295,81.12343454302962,,💎 ASH STRONG solo
ARDX,29,14.800000190734863,-4.054056579305588,-8.108106714865881,-68.2432449412572,-55.06756750225934,💎 ASH STRONG solo
BLNK,43,92.5,-29.729729729729726,-29.729729729729726,-34.05405405405405,-70.32432349952491,💎 ASH STRONG solo
BLNK,47,85.0,-26.470588235294112,-30.000000000000004,-45.29411764705882,-73.52941176470588,💎 ASH STRONG solo
BLNK,126,5.679999828338623,94.54226275860546,81.51409738039257,652.6408678167901,624.8239333307756,💎 ASH STRONG solo
HIVE,69,0.3499999940395355,0.0,14.285717934978305,71.42858115994217,3571.4287429439805,💎 ASH STRONG solo
HIVE,113,1.850000023841858,-2.702706534118826,2.702700090373522,413.513506895613,594.5946062629982,💎 ASH STRONG solo
HIVE,183,4.519999980926514,-10.840702946589909,,,,💎 ASH STRONG solo
JKS,114,14.087655067443848,22.561292912925612,24.468661168373053,-13.84196577072927,276.23976804188095,💎 ASH STRONG solo
KSS,35,24.814313888549805,6.261526365375403,17.857881034265823,3.7487373986796246,-1.7714043831568493,💎 ASH STRONG solo
KSS,59,28.23189353942871,-15.298842162319415,-2.57065381187751,-15.052572204315428,-6.885120793684862,💎 ASH STRONG solo
KSS,81,27.753053665161133,-1.7505953193797663,0.4823652204415385,8.98507710304315,8.785284558505623,💎 ASH STRONG solo
KSS,133,28.659170150756836,-7.23885721085511,20.460673305576815,47.13039873991549,70.39898216777047,💎 ASH STRONG solo
LOVE,71,28.110000610351562,-19.67271635209099,-17.32479805582079,34.18712344962618,-31.910355837558768,💎 ASH STRONG solo
LX,42,9.404918670654297,-35.836728936746866,-51.918362136135364,-68.4897932136334,-81.79591608891383,💎 ASH STRONG solo
LX,81,2.2872369289398193,21.796924896128743,122.49518860270854,287.06489598490293,114.06686515797841,💎 ASH STRONG solo
LZB,135,27.767263412475586,-5.167184902531197,-6.33572108558822,-4.434854327604332,-9.80644857279237,💎 ASH STRONG solo
LZB,184,32.49363327026367,1.6037077200299565,-27.014722098856183,-34.00563817069502,-35.66296169375691,💎 ASH STRONG solo
LZB,203,29.319683074951172,-1.6576548023355286,-6.257107910391113,12.223842922287464,43.820273253413774,💎 ASH STRONG solo
MCRB,62,529.7999877929688,6.870521942761276,4.228015275609209,-28.12382095754693,-75.80218952395687,💎 ASH STRONG solo
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,💎 ASH STRONG solo
NOAH,121,33.5029296875,-0.43924390430524207,-7.132398954659402,-1.2758761878042368,-35.80840940806541,💎 ASH STRONG solo
NUS,74,30.935075759887695,-4.077770061808794,-10.111438582507104,8.435392831161238,152.01918577776814,💎 ASH STRONG solo
NUS,118,33.46562194824219,15.609453388491623,41.091453914662715,4.756422456106435,39.72564327150747,💎 ASH STRONG solo
NUS,184,43.13478088378906,-5.044358075207267,-4.888948279039695,-13.250575457544912,-13.924073917508373,💎 ASH STRONG solo
OCGN,37,166.1999969482422,-6.859202229729611,-4.332128207249242,-20.216601360823272,-92.49097486679086,💎 ASH STRONG solo
OPRX,64,4.110000133514404,-10.218979626523982,13.868605262959433,-13.868616864836392,17.518242501271853,💎 ASH STRONG solo
OPRX,72,4.5,13.333331214057065,23.33333757188585,1.3333320617675781,-40.66666497124566,💎 ASH STRONG solo
PACB,34,4.179999828338623,32.057421234882796,0.9569369257348859,59.33014643350318,40.19139651121737,💎 ASH STRONG solo
PRTA,91,12.239999771118164,5.8823552327814665,-10.866012651767843,-8.415030655487488,309.31372067782564,💎 ASH STRONG solo
PRTA,117,60.630001068115234,1.3359682406796525,-0.6267541834418244,-20.05607724425217,-20.4189359228393,💎 ASH STRONG solo
QFIN,63,15.79792594909668,-0.7596349145196468,10.250966386052408,66.57789891970734,156.3611485822857,💎 ASH STRONG solo
RCKT,103,20.489999771118164,-11.664223603444245,46.266469732219974,31.478774206874817,-9.858469889350507,💎 ASH STRONG solo
REAL,57,3.9100000858306885,-2.3017941333054903,-18.41432257813529,-19.693093709048483,37.85165596333939,💎 ASH STRONG solo
RGNX,69,38.849998474121094,-16.80823432630676,7.902187427032259,-15.830110560437472,-36.42213196123364,💎 ASH STRONG solo
RGNX,72,41.91999816894531,-15.45801485038415,-21.99426958190115,-20.82538149704306,-36.95133239591755,💎 ASH STRONG solo
RILY,81,5.676785469055176,-25.90910335602896,-27.272731090806435,-19.09091428349674,-0.5701178706706944,💎 ASH STRONG solo
RILY,109,7.02282190322876,-4.191622377218785,41.57642709342966,15.102786034013626,35.70013426874459,💎 ASH STRONG solo
RILY,154,13.97616195678711,17.233464901015804,16.67848965286276,108.58118160898331,294.1125349947199,💎 ASH STRONG solo
SPCE,104,6.179999828338623,-52.26537007078254,,,,💎 ASH STRONG solo
SRPT,90,29.030000686645508,-17.223561425198717,16.017910811381352,-21.0127462527959,-52.118500552001,💎 ASH STRONG solo
SRPT,92,37.130001068115234,-9.291679675986009,-42.52626033207078,-56.45031076990821,-67.14247385319447,💎 ASH STRONG solo
SRPT,119,25.280000686645508,3.1249959917763803,55.22152141078003,22.863918600881348,52.610762591612904,💎 ASH STRONG solo
STKL,43,4.150000095367432,9.156629053216282,5.542169006941244,46.74698825636281,79.0361363276255,💎 ASH STRONG solo
STKL,194,11.229999542236328,-16.740865871773856,-27.248438029170373,-24.309881153322642,-65.8058764853287,💎 ASH STRONG solo
STKL,200,8.5,-20.82352918737075,-21.999998653636254,-54.82353042153751,-22.941174226648663,💎 ASH STRONG solo
TIGR,66,5.340000152587891,19.101122692518977,20.973780029131706,60.8614214818884,99.81272980157145,💎 ASH STRONG solo
USNA,44,18.1200008392334,3.3388494162008175,15.618100400848455,21.1920423145064,2.924937940120409,💎 ASH STRONG solo
USNA,78,22.145000457763672,9.121699778766512,58.25241564471999,71.48339439662412,65.206585361106,💎 ASH STRONG solo
USNA,119,68.66000366210938,-0.4223724148843644,-6.42295867593009,-9.263041196950372,-16.836592734363297,💎 ASH STRONG solo
USNA,134,65.69999694824219,9.132420515524142,13.622534236474081,60.654502213918015,78.11263634495084,💎 ASH STRONG solo
WB,81,32.56043243408203,21.0399082797748,10.574795542674487,23.738477857593242,-23.97982220653875,💎 ASH STRONG solo
WB,133,8.454477310180664,5.303862467487908,26.629834852425716,9.834247811827911,-7.0315071512511595,💎 ASH STRONG solo
ALT,90,8.569999694824219,-15.869308110928015,-22.403730079667973,-36.63943965344565,-38.623098994290864,🔻 MFI neg. recuperando
BLNK,126,5.679999828338623,94.54226275860546,81.51409738039257,652.6408678167901,624.8239333307756,🔻 MFI neg. recuperando
HIVE,113,1.850000023841858,-2.702706534118826,2.702700090373522,413.513506895613,594.5946062629982,🔻 MFI neg. recuperando
LX,81,2.2872369289398193,21.796924896128743,122.49518860270854,287.06489598490293,114.06686515797841,🔻 MFI neg. recuperando
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,🔻 MFI neg. recuperando
SPCE,104,6.179999828338623,-52.26537007078254,,,,🔻 MFI neg. recuperando
STKL,194,11.229999542236328,-16.740865871773856,-27.248438029170373,-24.309881153322642,-65.8058764853287,🔻 MFI neg. recuperando
STKL,200,8.5,-20.82352918737075,-21.999998653636254,-54.82353042153751,-22.941174226648663,🔻 MFI neg. recuperando
TIGR,66,5.340000152587891,19.101122692518977,20.973780029131706,60.8614214818884,99.81272980157145,🔻 MFI neg. recuperando
WB,133,8.454477310180664,5.303862467487908,26.629834852425716,9.834247811827911,-7.0315071512511595,🔻 MFI neg. recuperando
HIVE,113,1.850000023841858,-2.702706534118826,2.702700090373522,413.513506895613,594.5946062629982,⬛ MFI deep recov (<-10)
LX,81,2.2872369289398193,21.796924896128743,122.49518860270854,287.06489598490293,114.06686515797841,⬛ MFI deep recov (<-10)
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,⬛ MFI deep recov (<-10)
SPCE,104,6.179999828338623,-52.26537007078254,,,,⬛ MFI deep recov (<-10)
WB,133,8.454477310180664,5.303862467487908,26.629834852425716,9.834247811827911,-7.0315071512511595,⬛ MFI deep recov (<-10)
ALT,90,8.569999694824219,-15.869308110928015,-22.403730079667973,-36.63943965344565,-38.623098994290864,🔷 MFI higher low (5b)
BLNK,126,5.679999828338623,94.54226275860546,81.51409738039257,652.6408678167901,624.8239333307756,🔷 MFI higher low (5b)
HIVE,69,0.3499999940395355,0.0,14.285717934978305,71.42858115994217,3571.4287429439805,🔷 MFI higher low (5b)
HIVE,113,1.850000023841858,-2.702706534118826,2.702700090373522,413.513506895613,594.5946062629982,🔷 MFI higher low (5b)
HIVE,183,4.519999980926514,-10.840702946589909,,,,🔷 MFI higher low (5b)
JKS,114,14.087655067443848,22.561292912925612,24.468661168373053,-13.84196577072927,276.23976804188095,🔷 MFI higher low (5b)
LX,81,2.2872369289398193,21.796924896128743,122.49518860270854,287.06489598490293,114.06686515797841,🔷 MFI higher low (5b)
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,🔷 MFI higher low (5b)
SPCE,104,6.179999828338623,-52.26537007078254,,,,🔷 MFI higher low (5b)
STKL,194,11.229999542236328,-16.740865871773856,-27.248438029170373,-24.309881153322642,-65.8058764853287,🔷 MFI higher low (5b)
STKL,200,8.5,-20.82352918737075,-21.999998653636254,-54.82353042153751,-22.941174226648663,🔷 MFI higher low (5b)
TIGR,66,5.340000152587891,19.101122692518977,20.973780029131706,60.8614214818884,99.81272980157145,🔷 MFI higher low (5b)
WB,133,8.454477310180664,5.303862467487908,26.629834852425716,9.834247811827911,-7.0315071512511595,🔷 MFI higher low (5b)
LZB,203,29.319683074951172,-1.6576548023355286,-6.257107910391113,12.223842922287464,43.820273253413774,📊 MFI cruza su MA(10)
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,📊 MFI cruza su MA(10)
SRPT,119,25.280000686645508,3.1249959917763803,55.22152141078003,22.863918600881348,52.610762591612904,📊 MFI cruza su MA(10)
STKL,194,11.229999542236328,-16.740865871773856,-27.248438029170373,-24.309881153322642,-65.8058764853287,📊 MFI cruza su MA(10)
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,🎯 MFI cruza MA en zona neg
STKL,194,11.229999542236328,-16.740865871773856,-27.248438029170373,-24.309881153322642,-65.8058764853287,🎯 MFI cruza MA en zona neg
ACB,25,72.7868881225586,68.52145362374,218.75992039263238,205.24641566118885,217.96502068116564,🟢 MFI > 0
ALDX,40,7.199999809265137,-12.499995032946131,-5.555550404536735,4.166669426141034,91.6666743931949,🟢 MFI > 0
ALEC,25,20.139999389648438,-3.177752775788978,3.4260206304289387,13.306853954291809,-29.24528087461503,🟢 MFI > 0
ANAB,104,20.413333892822266,19.46440194250558,58.327884433363295,81.12343454302962,,🟢 MFI > 0
ARDX,29,14.800000190734863,-4.054056579305588,-8.108106714865881,-68.2432449412572,-55.06756750225934,🟢 MFI > 0
BLNK,43,92.5,-29.729729729729726,-29.729729729729726,-34.05405405405405,-70.32432349952491,🟢 MFI > 0
BLNK,47,85.0,-26.470588235294112,-30.000000000000004,-45.29411764705882,-73.52941176470588,🟢 MFI > 0
KSS,35,24.814313888549805,6.261526365375403,17.857881034265823,3.7487373986796246,-1.7714043831568493,🟢 MFI > 0
KSS,59,28.23189353942871,-15.298842162319415,-2.57065381187751,-15.052572204315428,-6.885120793684862,🟢 MFI > 0
KSS,81,27.753053665161133,-1.7505953193797663,0.4823652204415385,8.98507710304315,8.785284558505623,🟢 MFI > 0
KSS,133,28.659170150756836,-7.23885721085511,20.460673305576815,47.13039873991549,70.39898216777047,🟢 MFI > 0
LOVE,71,28.110000610351562,-19.67271635209099,-17.32479805582079,34.18712344962618,-31.910355837558768,🟢 MFI > 0
LX,42,9.404918670654297,-35.836728936746866,-51.918362136135364,-68.4897932136334,-81.79591608891383,🟢 MFI > 0
LZB,135,27.767263412475586,-5.167184902531197,-6.33572108558822,-4.434854327604332,-9.80644857279237,🟢 MFI > 0
LZB,184,32.49363327026367,1.6037077200299565,-27.014722098856183,-34.00563817069502,-35.66296169375691,🟢 MFI > 0
LZB,203,29.319683074951172,-1.6576548023355286,-6.257107910391113,12.223842922287464,43.820273253413774,🟢 MFI > 0
NOAH,121,33.5029296875,-0.43924390430524207,-7.132398954659402,-1.2758761878042368,-35.80840940806541,🟢 MFI > 0
NUS,74,30.935075759887695,-4.077770061808794,-10.111438582507104,8.435392831161238,152.01918577776814,🟢 MFI > 0
NUS,118,33.46562194824219,15.609453388491623,41.091453914662715,4.756422456106435,39.72564327150747,🟢 MFI > 0
NUS,184,43.13478088378906,-5.044358075207267,-4.888948279039695,-13.250575457544912,-13.924073917508373,🟢 MFI > 0
OCGN,37,166.1999969482422,-6.859202229729611,-4.332128207249242,-20.216601360823272,-92.49097486679086,🟢 MFI > 0
OPRX,64,4.110000133514404,-10.218979626523982,13.868605262959433,-13.868616864836392,17.518242501271853,🟢 MFI > 0
PACB,34,4.179999828338623,32.057421234882796,0.9569369257348859,59.33014643350318,40.19139651121737,🟢 MFI > 0
QFIN,63,15.79792594909668,-0.7596349145196468,10.250966386052408,66.57789891970734,156.3611485822857,🟢 MFI > 0
RCKT,103,20.489999771118164,-11.664223603444245,46.266469732219974,31.478774206874817,-9.858469889350507,🟢 MFI > 0
REAL,57,3.9100000858306885,-2.3017941333054903,-18.41432257813529,-19.693093709048483,37.85165596333939,🟢 MFI > 0
RGNX,69,38.849998474121094,-16.80823432630676,7.902187427032259,-15.830110560437472,-36.42213196123364,🟢 MFI > 0
RGNX,72,41.91999816894531,-15.45801485038415,-21.99426958190115,-20.82538149704306,-36.95133239591755,🟢 MFI > 0
RILY,109,7.02282190322876,-4.191622377218785,41.57642709342966,15.102786034013626,35.70013426874459,🟢 MFI > 0
RILY,154,13.97616195678711,17.233464901015804,16.67848965286276,108.58118160898331,294.1125349947199,🟢 MFI > 0
SRPT,90,29.030000686645508,-17.223561425198717,16.017910811381352,-21.0127462527959,-52.118500552001,🟢 MFI > 0
SRPT,92,37.130001068115234,-9.291679675986009,-42.52626033207078,-56.45031076990821,-67.14247385319447,🟢 MFI > 0
SRPT,119,25.280000686645508,3.1249959917763803,55.22152141078003,22.863918600881348,52.610762591612904,🟢 MFI > 0
STKL,43,4.150000095367432,9.156629053216282,5.542169006941244,46.74698825636281,79.0361363276255,🟢 MFI > 0
USNA,44,18.1200008392334,3.3388494162008175,15.618100400848455,21.1920423145064,2.924937940120409,🟢 MFI > 0
USNA,78,22.145000457763672,9.121699778766512,58.25241564471999,71.48339439662412,65.206585361106,🟢 MFI > 0
USNA,119,68.66000366210938,-0.4223724148843644,-6.42295867593009,-9.263041196950372,-16.836592734363297,🟢 MFI > 0
USNA,134,65.69999694824219,9.132420515524142,13.622534236474081,60.654502213918015,78.11263634495084,🟢 MFI > 0
WB,81,32.56043243408203,21.0399082797748,10.574795542674487,23.738477857593242,-23.97982220653875,🟢 MFI > 0
ACB,25,72.7868881225586,68.52145362374,218.75992039263238,205.24641566118885,217.96502068116564,📈 MFI subiendo
ALDX,40,7.199999809265137,-12.499995032946131,-5.555550404536735,4.166669426141034,91.6666743931949,📈 MFI subiendo
ALEC,25,20.139999389648438,-3.177752775788978,3.4260206304289387,13.306853954291809,-29.24528087461503,📈 MFI subiendo
ALT,90,8.569999694824219,-15.869308110928015,-22.403730079667973,-36.63943965344565,-38.623098994290864,📈 MFI subiendo
ANAB,104,20.413333892822266,19.46440194250558,58.327884433363295,81.12343454302962,,📈 MFI subiendo
ARDX,29,14.800000190734863,-4.054056579305588,-8.108106714865881,-68.2432449412572,-55.06756750225934,📈 MFI subiendo
BLNK,43,92.5,-29.729729729729726,-29.729729729729726,-34.05405405405405,-70.32432349952491,📈 MFI subiendo
BLNK,47,85.0,-26.470588235294112,-30.000000000000004,-45.29411764705882,-73.52941176470588,📈 MFI subiendo
BLNK,126,5.679999828338623,94.54226275860546,81.51409738039257,652.6408678167901,624.8239333307756,📈 MFI subiendo
HIVE,69,0.3499999940395355,0.0,14.285717934978305,71.42858115994217,3571.4287429439805,📈 MFI subiendo
HIVE,183,4.519999980926514,-10.840702946589909,,,,📈 MFI subiendo
JKS,114,14.087655067443848,22.561292912925612,24.468661168373053,-13.84196577072927,276.23976804188095,📈 MFI subiendo
KSS,35,24.814313888549805,6.261526365375403,17.857881034265823,3.7487373986796246,-1.7714043831568493,📈 MFI subiendo
KSS,81,27.753053665161133,-1.7505953193797663,0.4823652204415385,8.98507710304315,8.785284558505623,📈 MFI subiendo
LX,42,9.404918670654297,-35.836728936746866,-51.918362136135364,-68.4897932136334,-81.79591608891383,📈 MFI subiendo
LX,81,2.2872369289398193,21.796924896128743,122.49518860270854,287.06489598490293,114.06686515797841,📈 MFI subiendo
LZB,135,27.767263412475586,-5.167184902531197,-6.33572108558822,-4.434854327604332,-9.80644857279237,📈 MFI subiendo
LZB,203,29.319683074951172,-1.6576548023355286,-6.257107910391113,12.223842922287464,43.820273253413774,📈 MFI subiendo
MOMO,117,6.870547771453857,-7.095923311820462,1.314057045026562,-17.082790167499475,3.096203145028209,📈 MFI subiendo
NUS,184,43.13478088378906,-5.044358075207267,-4.888948279039695,-13.250575457544912,-13.924073917508373,📈 MFI subiendo
OCGN,37,166.1999969482422,-6.859202229729611,-4.332128207249242,-20.216601360823272,-92.49097486679086,📈 MFI subiendo
PACB,34,4.179999828338623,32.057421234882796,0.9569369257348859,59.33014643350318,40.19139651121737,📈 MFI subiendo
REAL,57,3.9100000858306885,-2.3017941333054903,-18.41432257813529,-19.693093709048483,37.85165596333939,📈 MFI subiendo
RGNX,69,38.849998474121094,-16.80823432630676,7.902187427032259,-15.830110560437472,-36.42213196123364,📈 MFI subiendo
RILY,109,7.02282190322876,-4.191622377218785,41.57642709342966,15.102786034013626,35.70013426874459,📈 MFI subiendo
RILY,154,13.97616195678711,17.233464901015804,16.67848965286276,108.58118160898331,294.1125349947199,📈 MFI subiendo
SPCE,104,6.179999828338623,-52.26537007078254,,,,📈 MFI subiendo
SRPT,90,29.030000686645508,-17.223561425198717,16.017910811381352,-21.0127462527959,-52.118500552001,📈 MFI subiendo
SRPT,92,37.130001068115234,-9.291679675986009,-42.52626033207078,-56.45031076990821,-67.14247385319447,📈 MFI subiendo
SRPT,119,25.280000686645508,3.1249959917763803,55.22152141078003,22.863918600881348,52.610762591612904,📈 MFI subiendo
STKL,43,4.150000095367432,9.156629053216282,5.542169006941244,46.74698825636281,79.0361363276255,📈 MFI subiendo
STKL,194,11.229999542236328,-16.740865871773856,-27.248438029170373,-24.309881153322642,-65.8058764853287,📈 MFI subiendo
STKL,200,8.5,-20.82352918737075,-21.999998653636254,-54.82353042153751,-22.941174226648663,📈 MFI subiendo
TIGR,66,5.340000152587891,19.101122692518977,20.973780029131706,60.8614214818884,99.81272980157145,📈 MFI subiendo
USNA,44,18.1200008392334,3.3388494162008175,15.618100400848455,21.1920423145064,2.924937940120409,📈 MFI subiendo
USNA,78,22.145000457763672,9.121699778766512,58.25241564471999,71.48339439662412,65.206585361106,📈 MFI subiendo
USNA,119,68.66000366210938,-0.4223724148843644,-6.42295867593009,-9.263041196950372,-16.836592734363297,📈 MFI subiendo
USNA,134,65.69999694824219,9.132420515524142,13.622534236474081,60.654502213918015,78.11263634495084,📈 MFI subiendo
WB,81,32.56043243408203,21.0399082797748,10.574795542674487,23.738477857593242,-23.97982220653875,📈 MFI subiendo
WB,133,8.454477310180664,5.303862467487908,26.629834852425716,9.834247811827911,-7.0315071512511595,📈 MFI subiendo
